no,code,name,cat,mat,ct,price
78,ABLP29403P-PT,DIAMONDS PENDANT NECKLACE,PD NECKLES,PT900,0.48ct,185000
79,ABLMTV0146P-WG,DIAMONDS PENDANT NECKLACE,PD NECKLES,K18WG,0.35/0.02,295000
80,ABLMTV0413N-PT,DIAMONDS PENDANT NECKLACE,PD NECKLES,PT950,0.70ct,315000
81,ABLMTV009OP-WG,DIAMONDS PENDANT NECKLACE,PD NECKLES,K18WG,1.00ct,320000
82,ABLPR0104P-PT,DIAMONDS PENDANT NECKLACE,PD NECKLES,PT900,1.00ct,350000
83,ABLMWAKU-363P-PTBENE07,DIAMONDS PENDANT NECKLACE,PD NECKLES,PT950,0.80ct,285000
84,ABLP62100P-PT,DIAMONDS PENDANT NECKLACE,PD NECKLES,PT900,0.80ct,500000
85,ABLPR0506ME-YG,METAL PIERCE,PIERCE,K18YG,,155000
86,LMTV0515PE-PT,DIAMONDS PIERCE,PIERCE,PT950,0.16/0.16,70000
87,LMTV0468PE-PT,DIAMONDS PIERCE,PIERCE,PT950,0.25/0.25,205000
88,LMTV0620PE-PT,DIAMONDS PIERCE,PIERCE,PT950,0.80/0.80,720000
89,ABLM8197PE-PT,DIAMONDS PIERCE,PIERCE,PT950,0.80/0.80,710000
90,ABLPR060BR-YG,METAL BRACELET,BRACELET,K18YG,,285000
91,ABLPR0501E-PT.WG2,METAL PIERCE,PIERCE,PT/K18,,85000
92,STG-115929,DIAMONDS PNEDANT NECKLACE,PD NECKLES,PT/K18,0.12ct,200000
93,STG-113874,DIAMONDS PNEDANT NECKLACE,PD NECKLES,K18YG,0.20ct,150000
94,STG-114990,DIAMONDS PNEDANT NECKLACE,PD NECKLES,K18YG,0.20ct,230000
95,STG-117893,DIAMONDS PNEDANT NECKLACE,PD NECKLES,K18YG,0.01ct,145000
96,STG-123804,DIAMONDS PNEDANT NECKLACE,PD NECKLES,K18YG,0.20ct,180000
97,FINE-109700,DIAMONDS PNEDANT NECKLACE,PD NECKLES,K18YG,0.03/0.07,185000
98,STG-117888,DIAMONDS PNEDANT NECKLACE,PD NECKLES,K18YG,0.30ct,275000
99,FINE-115921,DIAMONDS PNEDANT NECKLACE,PD NECKLES,K18YG,0.11ct,255000
100,STG-114994,DIAMONDS PNEDANT NECKLACE,PD NECKLES,K18YG,0.20ct,200000
101,STG-121213,DIAMONDS PNEDANT NECKLACE,PD NECKLES,K18YG,0.01ct,235000
102,STG-118697,DIAMONDS PNEDANT NECKLACE,PD NECKLES,K18YG,1.00ct,515000
103,STG-115928,DIAMONDS PNEDANT NECKLACE,PD NECKLES,PT/K18,0.12ct,200000
104,STG-117889,DIAMONDS PNEDANT NECKLACE,PD NECKLES,PT900,0.30ct,220000
105,STG-117932,DIAMONDS PNEDANT NECKLACE,PD NECKLES,PT950,1.00ct,420000
106,STG-117932,DIAMONDS PNEDANT NECKLACE,PD NECKLES,PT950,1.00ct,420000
107,STG-118696,DIAMONDS PNEDANT NECKLACE,PD NECKLES,PT950,0.24ct,520000
108,STG-117881,DIAMONDS PNEDANT NECKLACE,PD NECKLES,PT900,0.10ct,250000
109,STG-115004,DIAMONDS PNEDANT NECKLACE,PD NECKLES,PT900,0.20ct,235000
110,STG-114987,DIAMONDS PNEDANT NECKLACE,PD NECKLES,PT900,0.13ct,170000
